HotelID,HotelName,CityID,AreaID,StarClass,NbRooms,Amenities,Daily,Reviews,PageUrl,Attractions_NearBy,Walkable_Grade
121009,Holiday Inn Express Boston,60745,60745,2.5,118,"Free High Speed Internet (WiFi),Free parking,Fitness Center with Gym / Workout Room,Breakfast included,Airport transportation,Breakfast Available,Business Center with Internet Access,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Family Rooms,Non-smoking rooms",1,922 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d121009-Reviews-Holiday_Inn_Express_Boston-Boston_Massachusetts.html,10,66
94368,DoubleTree by Hilton Hotel Boston Bayside,60745,60745,3.0,197,"Fitness Center with Gym / Workout Room,Restaurant,Bar/Lounge,Free Internet,Airport transportation,Business Center with Internet Access,Conference Facilities,Dry Cleaning,Electric vehicle charging station,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Public Wifi,Shuttle Bus Service,Wheelchair access,Air conditioning,Family Rooms,Non-smoking rooms,Suites",1,"2,003 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d94368-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Bayside-Boston_Massachusetts.html,5,63
320038,Hampton Inn & Suites Boston Crosstown Center,60745,60745,3.0,175,"Pool,Fitness Center with Gym / Workout Room,Free High Speed Internet (WiFi),Breakfast included,Airport transportation,Banquet Room,Business Center with Internet Access,Conference Facilities,Dry Cleaning,Heated pool,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Shuttle Bus Service,Wheelchair access,Non-smoking rooms,Suites",1,"1,422 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d320038-Reviews-Hampton_Inn_Suites_Boston_Crosstown_Center-Boston_Massachusetts.html,20,73
89619,Courtyard by Marriott Boston Downtown,60745,60745,3.5,315,"Fitness Center with Gym / Workout Room,Restaurant,Bar/Lounge,Banquet Room,Breakfast Available,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Public Wifi,Wheelchair access,Air conditioning,Accessible rooms,Non-smoking rooms,Suites",1,445 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d89619-Reviews-Courtyard_by_Marriott_Boston_Downtown-Boston_Massachusetts.html,37,100
13351021,AC Hotel by Marriott Boston Cleveland Circle,60745,60745,3.5,NA,"Restaurant,Bar/Lounge,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Breakfast Available,Business Center with Internet Access,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Public Wifi,Self-Serve Laundry,Wheelchair access,Air conditioning,Non-smoking rooms",1,80 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d13351021-Reviews-AC_Hotel_by_Marriott_Boston_Cleveland_Circle-Boston_Massachusetts.html,5,74
813646,The Boston Christopher,60745,60745,2.0,9,"Free High Speed Internet (WiFi),Concierge,Laundry Service,Non-smoking hotel,Self-Serve Laundry,Microwave,Refrigerator in room,Kitchenette,Non-smoking rooms",1,99 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d813646-Reviews-The_Boston_Christopher-Boston_Massachusetts.html,14,100
555224,Courtyard Boston-South Boston,60745,60745,3.0,164,"Pool,Free parking,Fitness Center with Gym / Workout Room,Free High Speed Internet (WiFi),Restaurant,Bar/Lounge,Airport transportation,Business Center with Internet Access,Conference Facilities,Dry Cleaning,Heated pool,Hot Tub,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Self-Serve Laundry,Wheelchair access,Family Rooms,Non-smoking rooms",1,597 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d555224-Reviews-Courtyard_Boston_South_Boston-Boston_Massachusetts.html,10,65
14994379,Garrison Street Apartment by Stay Alfred,60745,60745,NA,NA,NA,1,NA,https://www.tripadvisor.com/Hotel_Review-g60745-d14994379-Reviews-Garrison_Street_Apartment_by_Stay_Alfred-Boston_Massachusetts.html,NA,NA
216999,Charles River Inn,60745,60745,2.5,55,"Free parking,Free High Speed Internet (WiFi),Breakfast included,Breakfast Available,Non-smoking hotel,Public Wifi,Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Non-smoking rooms",1,77 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d216999-Reviews-Charles_River_Inn-Boston_Massachusetts.html,9,51
15405636,Natalie House,60745,60745,NA,7,NA,1,1 review,https://www.tripadvisor.com/Hotel_Review-g60745-d15405636-Reviews-Natalie_House-Boston_Massachusetts.html,NA,NA
15323995,Friendly Home,60745,60745,NA,NA,NA,1,NA,https://www.tripadvisor.com/Hotel_Review-g60745-d15323995-Reviews-Friendly_Home-Boston_Massachusetts.html,NA,NA
15647326,The Ledder House 5,60745,60745,NA,NA,NA,1,NA,https://www.tripadvisor.com/Hotel_Review-g60745-d15647326-Reviews-The_Ledder_House_5-Boston_Massachusetts.html,NA,NA
111416,Boston Marriott Copley Place,60745,60745,NA,NA,NA,1,NA,https://www.tripadvisor.com/Hotel_Review-g60745-d111416-Reviews-Boston_Marriott_Copley_Place-Boston_Massachusetts.html,NA,NA
89602,Sheraton Boston Hotel,60745,60745,4.0,1220,"Pool,Fitness Center with Gym / Workout Room,Room service,Restaurant,Bar/Lounge,Spa,Banquet Room,Breakfast Available,Concierge,Conference Facilities,Dry Cleaning,Heated pool,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Pets Allowed ( Dog / Pet Friendly ),Wheelchair access,Air conditioning,Refrigerator in room,Accessible rooms,Non-smoking rooms,Suites",1,"2,999 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d89602-Reviews-Sheraton_Boston_Hotel-Boston_Massachusetts.html,46,100
